variable,level,n,mean_or_count,sd_or_percent,median,q1,q3,minimum,maximum
STAI trait total,continuous,137,37.83941606,8.389623823,37,32,42,21,59
MSPSS total,continuous,137,72.06569343,9.948547322,74,66,80,30,84
Alpha ROI EO (dB re 1 uV2/Hz),continuous,137,0.8430604028,4.552243877,0.2962687075,-2.590900448,3.639750994,-7.445433668,14.59576094
Alpha ROI EC (dB re 1 uV2/Hz),continuous,137,6.744360885,4.999075582,6.715331605,3.341854414,10.76359217,-5.036109055,18.76065981
Alpha ROI reactivity EC-EO (dB),continuous,137,5.901300482,3.081881616,5.907712265,3.602469639,8.081692205,-0.8907319866,12.3819948
Relative alpha ROI EO (% of 1-45 Hz power),continuous,137,31.32989556,15.14140336,27.49937653,19.07092558,41.41125394,7.810992077,76.40751784
Relative alpha ROI EC (% of 1-45 Hz power),continuous,137,54.90162537,17.30137709,58.23874247,43.42317311,67.71129207,13.03098381,82.71751566
Relative alpha ROI reactivity EC-EO (percentage points),continuous,137,23.57172981,14.2817925,23.71188213,11.97001104,34.33058005,-6.746313692,54.3626652
Sex,female,137,41,29.9270073,,,,,
Sex,male,137,96,70.0729927,,,,,
Partner status,0.0,137,54,39.41605839,,,,,
Partner status,1.0,137,83,60.58394161,,,,,
Age bin (years),20-25,137,71,51.82481752,,,,,
Age bin (years),25-30,137,56,40.87591241,,,,,
Age bin (years),30-35,137,10,7.299270073,,,,,
