variant,outcome,term,estimate_db,se_hc3,z_hc3,p_hc3_two_sided,ci95_hc3_low,ci95_hc3_high,power_ratio_multiplier,percent_change_in_power_ratio,percent_change_ci95_low,percent_change_ci95_high
primary_posterior_roi_spline,STAI_trait,intercept,5.844924401,0.6225238604,9.389076905,6.052838826e-21,4.624800055,7.065048747,3.841425722,284.1425722,190.0547657,408.75053
primary_posterior_roi_spline,STAI_trait,stai_z_linear,0.4558617252,0.2564479251,1.777599585,0.07546964199,-0.04676697185,0.9584904223,1.110672893,11.06728927,-1.071072056,24.69500077
primary_posterior_roi_spline,STAI_trait,stai_z_nonlinear_1,-1.619181703,3.062787361,-0.5286627872,0.5970393961,-7.622134622,4.383771216,0.6887820644,-31.12179356,-82.71033662,174.3955865
primary_posterior_roi_spline,STAI_trait,stai_z_nonlinear_2,4.519407484,2.645758951,1.708170535,0.08760470402,-0.6661847722,9.704999741,2.83100573,183.100573,-14.22089259,834.3293124
primary_posterior_roi_spline,STAI_trait,mspss_z_linear,-0.532759667,0.2691877355,-1.979137965,0.04780047507,-1.060357934,-0.00516140035,0.8845533534,-11.54466466,-21.66349227,-0.1187750416
primary_posterior_roi_spline,STAI_trait,male_vs_female,0.1933334849,0.561732231,0.3441737437,0.7307156269,-0.9076414569,1.294308427,1.045522416,4.552241592,-18.85984102,34.71961799
primary_posterior_roi_spline,STAI_trait,partnered_vs_not,-0.130560137,0.5720796891,-0.2282201929,0.819475064,-1.251815724,0.9906954498,0.9703848025,-2.961519748,-25.04192453,25.62311119
primary_posterior_roi_spline,MSPSS_total,intercept,5.745958019,0.6318730418,9.093532465,9.587241394e-20,4.507509614,6.984406423,3.754877749,275.4877749,182.3260561,399.3909208
primary_posterior_roi_spline,MSPSS_total,mspss_z_linear,-0.4327934308,0.2599224126,-1.665087002,0.09589539952,-0.9422319983,0.07664513671,0.9051502109,-9.484978915,-19.50353659,1.780484449
primary_posterior_roi_spline,MSPSS_total,mspss_z_nonlinear_1,-4.926656472,3.28252809,-1.500872601,0.1333885161,-11.36029331,1.506980363,0.321613561,-67.8386439,-92.68910293,41.48097249
primary_posterior_roi_spline,MSPSS_total,mspss_z_nonlinear_2,-3.413666287,2.420046735,-1.410578662,0.1583688869,-8.156870729,1.329538155,0.4556520949,-54.43479051,-84.71332871,35.81690063
primary_posterior_roi_spline,MSPSS_total,stai_z_linear,0.5449809812,0.267804091,2.034998716,0.04185100221,0.02009460797,1.069867354,1.133699873,13.36998734,0.4637675357,27.93422289
primary_posterior_roi_spline,MSPSS_total,male_vs_female,0.3564940119,0.561576204,0.6348096826,0.5255525475,-0.7441751226,1.457163146,1.085548924,8.554892395,-15.74755989,39.86733971
primary_posterior_roi_spline,MSPSS_total,partnered_vs_not,-0.1559217787,0.5729855029,-0.2721216819,0.7855284586,-1.278952728,0.9671091705,0.9647345277,-3.526547232,-25.50884173,24.94270871
