representation,psychometric_variable,channel,n_participants,linear_component,linear_component_se_hc3,linear_component_p,linear_component_ci95_low,linear_component_ci95_high,total_spline_wald_chi2_3df,total_spline_p,nonlinear_wald_chi2_2df,nonlinear_p,linear_component_q_bh61,total_spline_q_bh61,nonlinear_q_bh61,total_spline_reject_bh05,linear_component_reject_bh05,nonlinear_reject_bh05
absolute_alpha_reactivity_db,STAI_trait,Fp1,137,0.3188664214,0.2442990783,0.1918146316,-0.1599509735,0.7976838164,5.715784873,0.126287071,2.287305861,0.3186528764,0.525301352,0.2582951269,0.401255918,False,False,False
absolute_alpha_reactivity_db,STAI_trait,Fp2,137,0.257020695,0.2388748627,0.2819434653,-0.2111654328,0.7252068228,5.239850697,0.1550533518,2.634865057,0.2678220455,0.525301352,0.2582951269,0.401255918,False,False,False
absolute_alpha_reactivity_db,STAI_trait,F7,137,0.2966058918,0.2201751856,0.1779364751,-0.1349295423,0.728141326,7.321719848,0.06232058951,3.213625816,0.2005256906,0.525301352,0.2582951269,0.401255918,False,False,False
absolute_alpha_reactivity_db,STAI_trait,F3,137,0.2309232098,0.2479258321,0.3516360753,-0.2550024919,0.7168489115,5.801392829,0.1216830087,3.297616114,0.1922789576,0.525301352,0.2582951269,0.401255918,False,False,False
absolute_alpha_reactivity_db,STAI_trait,Fz,137,0.1654253195,0.2473629564,0.5036515041,-0.3193971661,0.6502478052,5.217796038,0.1565263056,3.343518438,0.1879161889,0.5486203884,0.2582951269,0.401255918,False,False,False
absolute_alpha_reactivity_db,STAI_trait,F4,137,0.220708756,0.2474014451,0.3723351609,-0.2641891662,0.7056066781,6.503683931,0.08951733203,3.939653493,0.1394810197,0.525301352,0.2582951269,0.401255918,False,False,False
absolute_alpha_reactivity_db,STAI_trait,F8,137,0.1916963141,0.2049964911,0.3497264722,-0.2100894253,0.5934820535,5.909482072,0.1160981346,3.735072554,0.154503848,0.525301352,0.2582951269,0.401255918,False,False,False
absolute_alpha_reactivity_db,STAI_trait,FC5,137,0.2485433924,0.2238386467,0.266840247,-0.1901722935,0.6872590782,9.14063383,0.02747835545,5.200852634,0.07424192088,0.525301352,0.2582951269,0.401255918,False,False,False
absolute_alpha_reactivity_db,STAI_trait,FC1,137,0.2026816162,0.2520158448,0.4212574811,-0.2912603632,0.6966235956,4.524053501,0.2101547786,2.692358541,0.2602326422,0.525301352,0.291350943,0.401255918,False,False,False
absolute_alpha_reactivity_db,STAI_trait,FC2,137,0.2293968414,0.250253629,0.3593221948,-0.2610912585,0.7198849413,5.319175736,0.1498629351,3.029244289,0.2198912562,0.525301352,0.2582951269,0.401255918,False,False,False
absolute_alpha_reactivity_db,STAI_trait,FC6,137,0.2248943851,0.2109360899,0.2863453992,-0.1885327541,0.6383215244,4.733817792,0.1923586583,3.047938371,0.2178454994,0.525301352,0.2861921501,0.401255918,False,False,False
absolute_alpha_reactivity_db,STAI_trait,T7,137,0.116433589,0.1728269788,0.5005018657,-0.2223010651,0.4551682431,6.129960482,0.1054557434,4.808434944,0.09033615852,0.5486203884,0.2582951269,0.401255918,False,False,False
absolute_alpha_reactivity_db,STAI_trait,C3,137,0.1566384184,0.1884798698,0.4059387226,-0.2127753382,0.526052175,4.058221033,0.2552455516,3.25677106,0.196246152,0.525301352,0.3384777967,0.401255918,False,False,False
absolute_alpha_reactivity_db,STAI_trait,Cz,137,0.2016548291,0.2279090664,0.3762624095,-0.2450387327,0.6483483909,3.030103541,0.3870070502,1.394356902,0.4979884222,0.525301352,0.4215612511,0.5329349781,False,False,False
absolute_alpha_reactivity_db,STAI_trait,C4,137,0.07217032747,0.1795410719,0.6877052735,-0.2797237071,0.4240643621,0.5765015904,0.9017900876,0.4798607686,0.7866826246,0.6877052735,0.9017900876,0.7866826246,False,False,False
absolute_alpha_reactivity_db,STAI_trait,T8,137,0.08101183692,0.1610455625,0.6149384321,-0.2346316655,0.3966553394,3.561479389,0.3128755516,3.370819574,0.1853684548,0.6357838027,0.3817081729,0.401255918,False,False,False
absolute_alpha_reactivity_db,STAI_trait,CP5,137,0.1469792151,0.1711717953,0.3905254126,-0.1885113389,0.4824697691,3.370128635,0.3380007042,2.839424985,0.2417835215,0.525301352,0.3965008261,0.401255918,False,False,False
absolute_alpha_reactivity_db,STAI_trait,CP1,137,0.1672502003,0.1898199247,0.3782640832,-0.2047900156,0.5392904162,3.152760172,0.3686669399,2.391831066,0.3024269456,0.525301352,0.4164570987,0.401255918,False,False,False
