channel,topomap_x,topomap_y,radial_distance,head_and_mask_radius,fraction_of_head_radius,head_outline_equals_interpolation_mask,coordinate_source
Fp1,-0.03443086786,0.1270829217,0.1316645497,0.1345255528,0.9787326419,True,MNE standard_1005 projected with eeglab sphere; one enclosing display radius
Fp2,0.03182131236,0.1279913866,0.1318877969,0.1345255528,0.9803921569,True,MNE standard_1005 projected with eeglab sphere; one enclosing display radius
F7,-0.08288310788,0.08324036545,0.1174673061,0.1345255528,0.8731969776,True,MNE standard_1005 projected with eeglab sphere; one enclosing display radius
F3,-0.04327169592,0.0734707628,0.08526659753,0.1345255528,0.6338319802,True,MNE standard_1005 projected with eeglab sphere; one enclosing display radius
Fz,-0.001093575324,0.07208531323,0.07209360783,0.1345255528,0.5359101399,True,MNE standard_1005 projected with eeglab sphere; one enclosing display radius
F4,0.04207140529,0.07457478036,0.08562360077,0.1345255528,0.6364857751,True,MNE standard_1005 projected with eeglab sphere; one enclosing display radius
F8,0.08280406098,0.08506317432,0.1187108089,0.1345255528,0.8824405948,True,MNE standard_1005 projected with eeglab sphere; one enclosing display radius
FC5,-0.07077951726,0.04681360849,0.08486020271,0.1345255528,0.6308110312,True,MNE standard_1005 projected with eeglab sphere; one enclosing display radius
FC1,-0.02509694823,0.04529223994,0.05178072816,0.1345255528,0.3849136991,True,MNE standard_1005 projected with eeglab sphere; one enclosing display radius
FC2,0.02290724496,0.04541058278,0.05086121214,0.1345255528,0.3780784473,True,MNE standard_1005 projected with eeglab sphere; one enclosing display radius
FC6,0.06977463804,0.0475177154,0.08441820533,0.1345255528,0.6275254296,True,MNE standard_1005 projected with eeglab sphere; one enclosing display radius
T7,-0.09662480885,0.01578731451,0.09790604162,0.1345255528,0.727787692,True,MNE standard_1005 projected with eeglab sphere; one enclosing display radius
C3,-0.04872605847,0.01897190142,0.05228921321,0.1345255528,0.3886935389,True,MNE standard_1005 projected with eeglab sphere; one enclosing display radius
